z_m,potential_v,electric_field_v_m,charge_c_m3
  8.4231954246E+00, -2.0526124928E+00, -1.8562625787E-01,  1.3733718743E-13
  8.4549957208E+00, -2.0467173604E+00, -1.8513351449E-01,  1.3705285720E-13
  8.4868348789E+00, -2.0408307055E+00, -1.8464119217E-01,  1.3676809036E-13
  8.5187130335E+00, -2.0349525283E+00, -1.8414929288E-01,  1.3648289370E-13
  8.5506303197E+00, -2.0290828288E+00, -1.8365781861E-01,  1.3619727394E-13
  8.5825868731E+00, -2.0232216068E+00, -1.8316677130E-01,  1.3591123775E-13
  8.6145828299E+00, -2.0173688625E+00, -1.8267615289E-01,  1.3562479175E-13
  8.6466183264E+00, -2.0115245958E+00, -1.8218596531E-01,  1.3533794249E-13
  8.6786934999E+00, -2.0056888068E+00, -1.8169621048E-01,  1.3505069648E-13
  8.7108084877E+00, -1.9998614954E+00, -1.8120689031E-01,  1.3476306016E-13
